periodo,sector,concursos
2024Q1,I Hostelería,168
2024Q2,I Hostelería,148
2024Q3,I Hostelería,121
2024Q4,I Hostelería,150
2025Q1,I Hostelería,175
2025Q2,I Hostelería,138
2025Q3,I Hostelería,124
2025Q4,I Hostelería,220
2011Q1,Industria y energía,313
2011Q2,Industria y energía,256
2011Q3,Industria y energía,251
2011Q4,Industria y energía,305
2012Q1,Industria y energía,411
2012Q2,Industria y energía,388
2012Q3,Industria y energía,274
2012Q4,Industria y energía,458
2013Q1,Industria y energía,422
2013Q2,Industria y energía,460
2013Q3,Industria y energía,325
2013Q4,Industria y energía,368
2014Q1,Industria y energía,298
2014Q2,Industria y energía,264
2014Q3,Industria y energía,216
2014Q4,Industria y energía,245
2015Q1,Industria y energía,183
2015Q2,Industria y energía,164
2015Q3,Industria y energía,127
2015Q4,Industria y energía,168
2016Q1,Industria y energía,128
2016Q2,Industria y energía,129
2016Q3,Industria y energía,118
2016Q4,Industria y energía,153
2017Q1,Industria y energía,145
2017Q2,Industria y energía,148
2017Q3,Industria y energía,122
2017Q4,Industria y energía,144
2018Q1,Industria y energía,128
2018Q2,Industria y energía,142
2018Q3,Industria y energía,108
2018Q4,Industria y energía,173
2019Q1,Industria y energía,139
2019Q2,Industria y energía,178
2019Q3,Industria y energía,144
2019Q4,Industria y energía,184
2020Q1,Industria y energía,158
2020Q2,Industria y energía,119
2020Q3,Industria y energía,109
2020Q4,Industria y energía,162
2021Q1,Industria y energía,165
2021Q2,Industria y energía,145
2021Q3,Industria y energía,109
2021Q4,Industria y energía,126
2022Q1,Industria y energía,141
2022Q2,Industria y energía,126
2022Q3,Industria y energía,208
2022Q4,Industria y energía,149
2023Q1,Industria y energía,136
2023Q2,Industria y energía,197
2023Q3,Industria y energía,157
2023Q4,Industria y energía,198
2024Q1,Industria y energía,196
2024Q2,Industria y energía,192
2024Q3,Industria y energía,174
2024Q4,Industria y energía,180
2025Q1,Industria y energía,235
2025Q2,Industria y energía,222
2025Q3,Industria y energía,153
2025Q4,Industria y energía,223
2011Q1,Inmobiliarias financieras y seguros,47
2011Q2,Inmobiliarias financieras y seguros,53
2011Q3,Inmobiliarias financieras y seguros,38
2011Q4,Inmobiliarias financieras y seguros,51
2012Q1,Inmobiliarias financieras y seguros,60
2012Q2,Inmobiliarias financieras y seguros,68
2012Q3,Inmobiliarias financieras y seguros,53
2012Q4,Inmobiliarias financieras y seguros,87
2013Q1,Inmobiliarias financieras y seguros,112
2013Q2,Inmobiliarias financieras y seguros,91
2013Q3,Inmobiliarias financieras y seguros,71
2013Q4,Inmobiliarias financieras y seguros,99
2014Q1,Inmobiliarias financieras y seguros,67
2014Q2,Inmobiliarias financieras y seguros,67
2014Q3,Inmobiliarias financieras y seguros,55
2014Q4,Inmobiliarias financieras y seguros,64
2015Q1,Inmobiliarias financieras y seguros,49
2015Q2,Inmobiliarias financieras y seguros,51
2015Q3,Inmobiliarias financieras y seguros,30
2015Q4,Inmobiliarias financieras y seguros,42
2016Q1,Inmobiliarias financieras y seguros,35
2016Q2,Inmobiliarias financieras y seguros,44
2016Q3,Inmobiliarias financieras y seguros,43
2016Q4,Inmobiliarias financieras y seguros,52
2017Q1,Inmobiliarias financieras y seguros,54
2017Q2,Inmobiliarias financieras y seguros,30
2017Q3,Inmobiliarias financieras y seguros,33
2017Q4,Inmobiliarias financieras y seguros,38
2018Q1,Inmobiliarias financieras y seguros,39
2018Q2,Inmobiliarias financieras y seguros,39
2018Q3,Inmobiliarias financieras y seguros,25
2018Q4,Inmobiliarias financieras y seguros,30
2019Q1,Inmobiliarias financieras y seguros,38
2019Q2,Inmobiliarias financieras y seguros,34
2019Q3,Inmobiliarias financieras y seguros,26
2019Q4,Inmobiliarias financieras y seguros,56
2020Q1,Inmobiliarias financieras y seguros,41
2020Q2,Inmobiliarias financieras y seguros,23
2020Q3,Inmobiliarias financieras y seguros,29
2020Q4,Inmobiliarias financieras y seguros,39
2021Q1,Inmobiliarias financieras y seguros,69
2021Q2,Inmobiliarias financieras y seguros,61
2021Q3,Inmobiliarias financieras y seguros,35
2021Q4,Inmobiliarias financieras y seguros,57
2022Q1,Inmobiliarias financieras y seguros,57
